Date,Open,High,Low,Close,Adj Close,Volume
2023-08-16,800.049988,801.950012,789.049988,795.250000,795.250000,62213
2023-08-17,792.349976,796.799988,784.000000,789.900024,789.900024,38817
2023-08-18,790.000000,793.799988,784.450012,787.049988,787.049988,112758
2023-08-21,787.099976,797.299988,787.099976,794.599976,794.599976,28968
2023-08-22,795.750000,799.349976,792.599976,795.099976,795.099976,28749
2023-08-23,795.000000,802.500000,793.250000,797.299988,797.299988,20295
2023-08-24,797.349976,806.250000,786.250000,787.799988,787.799988,34050
2023-08-25,786.150024,787.950012,770.950012,773.000000,773.000000,120504
2023-08-28,766.049988,780.900024,766.049988,772.900024,772.900024,24824
2023-08-29,778.000000,785.750000,775.900024,782.849976,782.849976,54616
2023-08-30,789.599976,791.849976,784.000000,785.950012,785.950012,106832
2023-08-31,783.049988,791.799988,777.000000,779.900024,779.900024,219544
2023-09-01,779.849976,807.450012,778.150024,806.200012,806.200012,168055
2023-09-04,810.049988,826.650024,808.500000,809.650024,809.650024,120108
2023-09-05,805.250000,818.200012,800.549988,815.900024,815.900024,47415
2023-09-06,816.299988,816.299988,803.849976,813.299988,813.299988,32742
2023-09-07,813.250000,821.099976,806.049988,819.150024,819.150024,40555
2023-09-08,817.000000,823.299988,810.900024,815.450012,815.450012,42083
2023-09-11,821.849976,829.349976,816.700012,823.950012,823.950012,55149
2023-09-12,834.950012,840.000000,812.000000,816.150024,816.150024,92036
2023-09-13,816.250000,819.650024,808.400024,810.549988,810.549988,32676
2023-09-14,803.200012,825.150024,803.200012,809.950012,809.950012,39954
2023-09-15,810.049988,819.549988,805.150024,812.400024,812.400024,41728
2023-09-18,812.400024,814.849976,807.250000,807.700012,807.700012,73161
2023-09-20,804.799988,810.900024,785.450012,786.700012,786.700012,82018
2023-09-21,786.700012,790.450012,774.099976,778.049988,778.049988,181738
2023-09-22,779.950012,783.000000,772.549988,774.299988,774.299988,52895
2023-09-25,774.049988,783.450012,774.049988,779.900024,779.900024,49552
2023-09-26,779.900024,788.500000,778.000000,779.400024,779.400024,39818
2023-09-27,782.000000,785.500000,774.650024,779.700012,779.700012,232438
2023-09-28,781.750000,787.099976,764.700012,767.950012,767.950012,85021
2023-09-29,776.549988,783.250000,771.799988,779.250000,779.250000,69078
2023-10-03,779.000000,779.000000,768.049988,770.200012,770.200012,24827
2023-10-04,768.900024,768.900024,753.349976,755.799988,755.799988,30093
2023-10-05,760.000000,761.000000,753.000000,755.700012,755.700012,25827
2023-10-06,758.950012,771.349976,758.950012,765.250000,765.250000,90760
2023-10-09,751.299988,761.049988,749.299988,757.099976,757.099976,52378
2023-10-10,757.150024,774.099976,757.150024,771.750000,771.750000,21488
2023-10-11,773.000000,782.799988,773.000000,776.849976,776.849976,555626
2023-10-12,781.500000,790.000000,779.700012,783.200012,783.200012,81851
2023-10-13,779.000000,780.150024,773.000000,777.049988,777.049988,52309
2023-10-16,772.650024,794.349976,772.650024,790.299988,790.299988,45713
2023-10-17,794.849976,795.950012,788.400024,790.049988,790.049988,28545
2023-10-18,790.549988,800.500000,781.299988,784.349976,784.349976,35844
2023-10-19,782.349976,782.650024,769.250000,780.849976,780.849976,30970
2023-10-20,777.349976,779.400024,762.250000,770.000000,770.000000,61042
2023-10-23,774.950012,774.950012,742.750000,747.950012,747.950012,70919
2023-10-25,751.500000,761.450012,741.750000,748.349976,748.349976,111323
2023-10-26,743.250000,743.250000,726.000000,728.950012,728.950012,66052
2023-10-27,732.000000,735.500000,725.450012,732.000000,732.000000,71242
2023-10-30,735.549988,736.750000,726.250000,734.099976,734.099976,56367
2023-10-31,735.299988,738.549988,727.099976,736.049988,736.049988,14789
2023-11-01,737.000000,737.000000,723.150024,724.700012,724.700012,74888
2023-11-02,724.700012,734.200012,724.700012,733.500000,733.500000,24905
2023-11-03,734.049988,748.049988,734.049988,746.299988,746.299988,144889
2023-11-06,749.750000,756.150024,745.299988,753.500000,753.500000,55038
2023-11-07,753.500000,759.250000,746.400024,747.650024,747.650024,36384
2023-11-08,754.950012,758.000000,745.450012,756.349976,756.349976,25861
2023-11-09,757.000000,760.000000,749.000000,750.500000,750.500000,106354
2023-11-10,745.049988,759.000000,745.049988,754.150024,754.150024,210601
2023-11-13,757.200012,763.250000,752.549988,761.000000,761.000000,27125
2023-11-15,765.400024,782.400024,765.400024,772.349976,772.349976,297787
2023-11-16,774.950012,774.950012,763.299988,769.250000,769.250000,26548
2023-11-17,768.849976,775.000000,765.849976,768.549988,768.549988,145546
2023-11-20,770.000000,771.500000,760.549988,761.750000,761.750000,17205
2023-11-21,765.000000,779.650024,765.000000,775.549988,775.549988,287328
2023-11-22,772.049988,776.799988,765.950012,768.299988,768.299988,23168
2023-11-23,770.049988,776.450012,767.250000,775.549988,775.549988,41787
2023-11-24,777.049988,786.200012,776.349976,781.849976,781.849976,187321
2023-11-28,782.099976,785.400024,778.799988,782.150024,782.150024,23725
2023-11-29,786.849976,795.000000,782.200012,793.049988,793.049988,27212
2023-11-30,793.049988,807.799988,789.799988,799.599976,799.599976,125191
2023-12-01,807.950012,815.000000,797.450012,811.099976,811.099976,194046
2023-12-04,815.150024,823.000000,812.000000,819.299988,819.299988,215190
2023-12-05,819.250000,826.000000,814.150024,821.700012,821.700012,35071
2023-12-06,822.000000,833.400024,815.299988,824.549988,824.549988,209850
2023-12-07,825.150024,830.750000,817.950012,819.349976,819.349976,33640
2023-12-08,822.000000,853.099976,822.000000,839.349976,839.349976,433712
2023-12-11,839.549988,846.900024,831.599976,844.950012,844.950012,107128
2023-12-12,849.849976,862.599976,845.900024,853.950012,853.950012,92064
2023-12-13,854.099976,858.849976,839.900024,850.950012,850.950012,95561
2023-12-14,859.000000,861.000000,845.799988,847.750000,847.750000,37061
2023-12-15,859.900024,870.150024,852.450012,867.400024,867.400024,210002
2023-12-18,840.150024,865.150024,836.000000,854.700012,854.700012,227805
2023-12-19,854.700012,861.250000,847.849976,858.750000,858.750000,40633
2023-12-20,858.799988,863.450012,839.500000,841.650024,841.650024,88248
2023-12-21,831.099976,847.650024,822.849976,841.849976,841.849976,44782
2023-12-22,845.950012,857.950012,843.349976,854.849976,854.849976,78159
2023-12-26,858.450012,863.000000,850.150024,851.400024,851.400024,90866
2023-12-27,863.900024,882.799988,856.150024,876.650024,876.650024,79006
2023-12-28,885.950012,895.599976,872.000000,880.400024,880.400024,164265
2023-12-29,884.650024,887.000000,873.650024,880.400024,880.400024,535078
2024-01-01,879.950012,884.400024,874.950012,877.349976,877.349976,44773
2024-01-02,884.849976,884.849976,859.799988,870.099976,870.099976,45341
2024-01-03,862.799988,868.150024,835.950012,837.349976,837.349976,203562
2024-01-04,845.099976,845.099976,835.400024,836.849976,836.849976,52564
2024-01-05,838.150024,845.500000,827.500000,829.650024,829.650024,161548
